,title,company,salary,location,job_type,link
0,Data Engineer,Surrey County Council,"£35,730 - £38,585 per annum","Reigate, Surrey","Permanent, full-time or part-time",https://www.reed.co.uk/jobs/data-engineer/53753719?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
1,Data Engineer,Surrey County Council,"£35,730 - £38,585 per annum","Reigate, Surrey","Permanent, full-time or part-time",https://www.reed.co.uk/jobs/data-engineer/53753719?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
2,Data Engineer,Ordnance Survey,"£41,659 - £49,010 per annum","Southampton, Hampshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53790594?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
3,Azure Data Engineer,Intuita,Salary not specified,"Liverpool, Merseyside","Contract, full-time or part-time",https://www.reed.co.uk/jobs/azure-data-engineer/53483757?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
4,Data Engineer AI/ML,Awin,Competitive salary,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-ai-ml/53305400?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
5,Junior Data Engineer Apprentice,QA,"£12,000 - £14,000 per annum","Sheffield, South Yorkshire","Permanent, full-time",https://www.reed.co.uk/jobs/junior-data-engineer-apprentice/53780377?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
6,Junior Big Data Engineer, Information Tech Consultants,"£20,000 - £35,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/junior-big-data-engineer/53158541?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
7,Lead Data Science Engineer ,Davies Group,Salary negotiable,"Lostock, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-science-engineer/53681361?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
8,AI Software Engineer,WTW,Salary not specified,London,"Permanent, full-time",https://www.reed.co.uk/jobs/ai-software-engineer/53621184?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
9,Data Engineer,Method Resourcing,"£55,000 - £65,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53761813?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
10,Data Engineer,Method Resourcing,"£40,000 - £50,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53558063?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
11,Data Engineer,Harnham - Data & Analytics Recruitment,"£55,000 - £60,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53530004?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
12,Data Engineer,Harnham - Data & Analytics Recruitment,"£55,000 - £60,000 per annum","Skipton, North Yorkshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53530001?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
13,Data Engineer,Harnham - Data & Analytics Recruitment,"£55,000 - £60,000 per annum","Leeds, West Yorkshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53450465?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
14,Data Engineer,Searchability,"£40,000 - £45,000 per annum, inc benefits","Liverpool, Merseyside","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53450365?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
15,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £55,000 per annum","Birmingham, West Midlands (County)","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53571190?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
16,Data Engineer,Harnham - Data & Analytics Recruitment,"£55,000 - £60,000 per annum",East Sussex,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53651973?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
17,Data Engineer,Wex Europe Services,"£60,000 - £90,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53461912?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
18,Data Engineer ,Verum Recruitment,"£50,000 - £55,000 per annum","Bristol, Avon","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53582110?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
19,Data Engineer,Reed,"£45,000 - £65,000 per annum","Newcastle Upon Tyne, Tyne and Wear","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53632022?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
20,Data Engineer,Pontoon,£550 - £600 per day,"Bromley, Kent","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53419837?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
21,Data Engineer,INTEC SELECT LIMITED,£550 - £650 per day,"City of London, London","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53521943?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
22,Data Engineer,Method Resourcing,"£50,000 - £55,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53690940?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
23,Data Engineer,Rise Technical Recruitment Limited,Salary negotiable,"Leeds, West Yorkshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53563926?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
24,Data Engineer,Henderson Scott,"£40,000 - £60,000 per annum, inc benefits","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53778254?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
25,Data Engineer,Sanderson,"£75,000 - £80,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53762888?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs
26,Data Engineer,Surrey County Council,"£35,730 - £38,585 per annum","Reigate, Surrey","Permanent, full-time or part-time",https://www.reed.co.uk/jobs/data-engineer/53753719?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
27,Data Engineer,Sanderson,£250 - £500 per day,"Stevenage, Hertfordshire","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53712119?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
28,Data Engineer,Harnham - Data & Analytics Recruitment,"£40,000 - £45,000 per annum","Liverpool, Merseyside","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53465614?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
29,Data Engineer,Service Service Employment Agency Limited,Salary negotiable,"Norwich, Norfolk","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53769968?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
30,Data Engineer,TEC PARTNERS LIMITED,Salary negotiable,"Stowmarket, Suffolk","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53613378?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
31,Data Engineer,Huxley,£700 - £800 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53506442?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
32,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £60,000 per annum","Burnley, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53569502?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
33,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £60,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53500049?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
34,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £60,000 per annum","Barnoldswick, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53455257?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
35,Data Engineer,Sanderson,£260 - £280 per day,"South West London, London","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53754530?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
36,Data Engineer,Salt Search,£390 per day,"Glasgow, Lanarkshire","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53681171?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
37,Data Engineer,Sanderson,"£45,000 - £54,000 per annum","Manchester, Lancashire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53389057?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
38,Data Engineer,Sphere Digital Recruitment,"£60,000 - £70,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53392629?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
39,Data Engineer,Sanderson,"£50,000 - £60,000 per annum",London,"Temporary, full-time",https://www.reed.co.uk/jobs/data-engineer/53654316?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
40,Data Engineer,Sanderson,"£50,000 - £60,000 per annum",London,"Temporary, full-time",https://www.reed.co.uk/jobs/data-engineer/53445544?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
41, Data Engineer,Walsh Employment,"£75,000 - £80,000 per annum","Oxford, Oxfordshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53234659?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
42,Data Engineer,Nigel Frank International,"£50,000 per annum","Wilmslow, Cheshire","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53459701?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
43,Data Engineer,Robert Half,£350 - £450 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53544652?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
44,Data Engineer,Adecco ,"£45,000 - £55,000 per annum","Bristol, Avon","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53766847?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D2
