job_id,title,company,salary,location,job_type,link
1,Junior Big Data Engineer, Information Tech Consultants,"£25,000 - £35,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/junior-big-data-engineer/53158541?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
2,Data Engineer,Method Resourcing,"£55,000 - £65,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53761813?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
3,Data Engineer,Harnham - Data & Analytics Recruitment,"£60,000 - £70,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/54007220?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
4,Data Engineer,Gold Group Ltd,"£64,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/54009906?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
5,Data Engineer,Wex Europe Services,"£75,000 - £90,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53892362?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
6,Data Engineer,Robert Half,"£55,000 - £65,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53910449?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
7,Data Engineer,Asset Resourcing Limited,"£85,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53765660?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
8,Data Engineer,Harnham - Data & Analytics Recruitment,"£50,000 - £70,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/54007169?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
9,Data Engineer,Harnham - Data & Analytics Recruitment,"£80,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53991524?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
10,Data Engineer,Sanderson,"£75,000 - £80,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53762888?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
11,Data Engineer,Proactive Appointments,"£50,000 - £62,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53991326?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
12,Data Engineer,Robert Half,Salary negotiable,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53979429?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
13,Data Engineer,Henderson Scott,"£50,000 - £65,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53943133?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
14,Data Engineer,Robert Half,Salary negotiable,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53871118?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
15,Data Engineer,TEC PARTNERS LIMITED,"£65,000 - £85,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53844996?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
16,Data Engineer,ARCUS SEARCH LIMITED,"£80,000 - £90,000 per annum, inc benefits","City of London, London","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53824089?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
17,Data Engineer,Sanderson,"£50,000 - £60,000 per annum",London,"Temporary, full-time",https://www.reed.co.uk/jobs/data-engineer/53809151?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
18,Data Engineer,Robert Half,Salary negotiable,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53975869?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
19,Data Engineer,Eligo Recruitment,"£70,000 - £80,000 per annum","City of London, London","Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53981042?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
20,Data Engineer,Robert Half,Salary negotiable,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/54004590?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
21,Data Engineer,Sphere Digital Recruitment,"£50,000 - £60,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53849407?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
22,Data Engineer,Salt Search,"£50,000 - £60,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53822190?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
23,Data Engineer,JH Partners (EMEA) Company Limited,Salary negotiable,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53883789?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
24,Data Engineer,Avanti,"£40,000 - £50,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer/53804921?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
25,Data Engineer,Hays Specialist Recruitment Limited,£800 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53964184?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london
26,Data Engineer,Teqniq Ltd,"£51,000 - £54,000 per annum",London,"Temporary, full-time",https://www.reed.co.uk/jobs/data-engineer/53937370?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
27,Data Engineer,Sanderson,£600 - £700 per day,South East England,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer/53824691?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
28,Senior data engineer,Morgan Fraser Group Limited,"£60,000 - £80,000 per annum, OTE, pro-rata, negotiable",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53814296?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
29,Senior Data Engineer,GerrardWhite,Salary negotiable,London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53832047?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
30,Senior Data Engineer,Adecco ,£600 - £650 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/54014037?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
31,Senior Data Engineer,Harnham - Data & Analytics Recruitment,"£80,000 - £90,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53790181?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
32,AWS Data Engineer,Method Resourcing,"£40,000 - £55,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/aws-data-engineer/53940637?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
33,Lead Data Engineer,Harnham - Data & Analytics Recruitment,"£90,000 - £100,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53935985?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
34,Senior Data Engineer,Broadstone Resourcing,Salary negotiable,"City of London, London","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53913149?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
35,Senior Data Engineer,Initialize,"£80,000 - £90,000 per annum, OTE",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53863430?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
36,Data Engineer Databricks,Robert Half,Salary negotiable,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-databricks/53803453?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
37,Lead Data Engineer,Harnham - Data & Analytics Recruitment,"£80,000 - £90,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53935975?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
38,Lead Data Engineer,Salt Search,"£60,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53935613?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
39,Senior Data Engineer,Claranet Limited,Competitive salary,London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53873744?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
40,SQL Data Engineer,Pontoon,£500 - £550 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/sql-data-engineer/53973541?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
41,Senior Data Engineer,Sanderson,£600 - £700 per day,South East England,"Contract, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53940741?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
42,Senior Data Engineer,TLP Consultancy Ltd,"£65,000 - £75,000 per annum","Epsom, Surrey","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53368812?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
43,Data Engineer- DV cleared,Searchability,"£53,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-dv-cleared/53971072?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
44,"Lead Data Engineer - £95,000",Nigel Frank International,"£75,000 - £95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-95000/53791636?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
45,"Data Engineer - London / Hybrid - £75,000",Nigel Frank International,"£70,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-london-hybrid-75000/53964707?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
46,Data Engineer - £700 per day,BCT Resourcing ,£600 - £700 per day,"City of London, London","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer-700-per-day/53807838?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D2
